,NumEmails,Received,Sender
0,1,"Sat, 07 Oct 2017 23:58:51 +0000",Dollar Shave Club <members@dollarshaveclub.com>
0,1,"Sun, 08 Oct 2017 00:52:53 +0000",Twitter <info@twitter.com>
0,1,"Sun, 08 Oct 2017 01:00:00 +0000 (UTC)","""Ladders"" <daily@theladders.com>"
0,1,"Sun, 08 Oct 2017 01:46:58 +0000","""=?utf-8?q?Pinterest?="" <pinbot@explore.pinterest.com>"
0,1,"Sun, 08 Oct 2017 03:00:01 +0000",Twitter <info@twitter.com>
0,1,"Sun, 08 Oct 2017 04:41:41 +0000",Twitter <info@twitter.com>
0,1,"Sun, 8 Oct 2017 00:11:21 -0500",Lauren Monday <dearlms@gmail.com>
0,1,"Sat, 7 Oct 2017 22:29:08 -0700","""Sears Weekly Ad"" <sears@value.sears.com>"
0,1,"Sun, 08 Oct 2017 06:53:15 +0000",Lauren Monday <dearlms@gmail.com>
0,1,"Sun, 08 Oct 2017 10:32:35 +0000 (UTC)",Flipboard Sunday Edition<editorialstaff@flipboard.com>
0,1,"Sun, 08 Oct 2017 10:46:54 +0000",Groupon Getaways <noreply@r.groupon.com>
0,1,"Sun, 08 Oct 2017 11:50:00 +0000 (UTC)","""Kimble Group"" <kimble@kimblegroup.com>"
0,1,"Sun, 8 Oct 2017 12:12:40 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,"Sun, 08 Oct 2017 08:06:35 -0600","""Best Buy Weekly Ad"" <BestBuyInfo@emailinfo.bestbuy.com>"
0,1,"Sun, 08 Oct 2017 09:04:52 -0600","""Redbox"" <Redbox@em.redbox.com>"
0,1,"Sun, 8 Oct 2017 15:57:23 +0000",Chie Yao <chie.yao@wcs.edu>
0,1,"Sun, 08 Oct 2017 17:23:31 +0000 (UTC)","""Nextdoor Cool Springs East"" <no-reply@rs.email.nextdoor.com>"
0,1,"Sun, 08 Oct 2017 11:08:11 -0500","""Scott's Cheap Flights"" <scott@scottscheapflights.com>"
0,1,"Sun, 08 Oct 2017 22:26:54 +0000 (UTC)","""Nextdoor Cool Springs East"" <reply@rs.email.nextdoor.com>"
0,1,"Sun, 08 Oct 2017 17:12:25 -0600","""American Express"" <americanexpress@member.americanexpress.com>"
0,1,"Mon, 09 Oct 2017 01:00:00 +0000 (UTC)","""Ladders"" <daily@theladders.com>"
0,1,"Mon, 09 Oct 2017 01:23:36 +0000",Twitter <info@twitter.com>
0,1,"Mon, 09 Oct 2017 03:22:22 +0000",Twitter <info@twitter.com>
0,1,9 Oct 2017 04:01:02 -0700,"""Evite"" <evite@email.eviteideas.com>"
0,1,"Mon, 09 Oct 2017 11:30:00 +0000 (UTC)","""Ladders"" <jobs@theladders.com>"
0,1,"Mon, 9 Oct 2017 07:05:16 -0500 (CDT)",Application Development Trends <ADT@1105.net>
0,1,"Mon, 9 Oct 2017 13:28:38 +0000","=?utf-8?Q?The=20Corkdorks=20at=20Greenhills=20and=20Midtown?=
 <midtowncorkdork@gmail.com>"
0,1,"Mon, 09 Oct 2017 17:08:03 +0000",Starbucks Rewards <Starbucks@mg.starbucks.com>
0,1,"Mon, 09 Oct 2017 17:23:00 +0000 (UTC)","""Nextdoor Cool Springs East"" <no-reply@rs.email.nextdoor.com>"
0,1,"Mon, 9 Oct 2017 18:35:12 +0000",Sonia Soszna <sonia.soszna@wcs.edu>
0,1,"Mon, 9 Oct 2017 19:38:42 +0000",=?utf-8?Q?smokingpipes.com?= <info@smokingpipes.com>
0,1,"Mon, 09 Oct 2017 20:53:37 +0000",Twitter <info@twitter.com>
0,1,"Mon, 9 Oct 2017 21:02:29 +0000",Kelsey Antoskow <kelsey.antoskow@wcs.edu>
0,1,"Mon, 9 Oct 2017 16:03:22 -0500 (CDT)","""MCPmag.com"" <MCPmag.com@1105.net>"
0,1,"Mon, 09 Oct 2017 21:26:08 -0000","""Cool Springs Wines & Spirits"" <events@coolspringswines.com>"
0,1,"Mon, 09 Oct 2017 14:40:37 -0700","""American Express"" <AmericanExpress@welcome.aexp.com>"
0,1,"Mon, 09 Oct 2017 21:46:51 +0000 (UTC)",Flipboard 10 for Today<editorialstaff@flipboard.com>
0,1,"Mon, 09 Oct 2017 17:57:02 -0400","""HCA Hope Fund"" <hopefund@hcahealthcare.com>"
0,1,"Tue, 10 Oct 2017 00:44:22 +0000 (UTC)",Google <no-reply@accounts.google.com>
0,1,"Tue, 10 Oct 2017 01:00:00 +0000 (UTC)","""Ladders"" <daily@theladders.com>"
0,1,"Tue, 10 Oct 2017 02:05:12 +0000",Twitter <info@twitter.com>
0,1,"Tue, 10 Oct 2017 03:56:16 +0000",Twitter <info@twitter.com>
0,1,"Tue, 10 Oct 2017 08:36:25 +0000 (UTC)",Meetup <info@meetup.com>
0,1,"Tue, 10 Oct 2017 10:22:26 +0000 (UTC)","""Nextdoor Cool Springs East"" <reply@rs.email.nextdoor.com>"
0,1,"Tue, 10 Oct 2017 05:00:53 -0600","""Vanderbilt Reunion"" <reunion@vanderbilt.edu>"
0,1,"Tue, 10 Oct 2017 12:29:47 +0000 (UTC)","""Nextdoor Cool Springs East"" <reply@rs.email.nextdoor.com>"
0,1,"Tue, 10 Oct 2017 13:07:17 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,"Tue, 10 Oct 2017 06:33:58 -0700","""Sears"" <sears@value.sears.com>"
0,1,"Tue, 10 Oct 2017 14:31:29 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>
0,1,"Tue, 10 Oct 2017 12:57:40 -0400","""Beta Gamma Sigma"" <bgshonors@betagammasigma.org>"
0,1,"Tue, 10 Oct 2017 12:03:53 -0500","""Red Dog Wine & Spirits"" <info@RedDogWS.com>"
0,1,"Tue, 10 Oct 2017 17:23:05 +0000 (UTC)","""Nextdoor Cool Springs East"" <no-reply@rs.email.nextdoor.com>"
0,1,"Tue, 10 Oct 2017 05:12:01 -0700","""Southwest Click 'N Save"" <SouthwestAirlines@luv.southwest.com>"
0,1,"Tue, 10 Oct 2017 12:28:51 -0500",Jan Reese <JReese@crgwaddill.com>
0,1,"Tue, 10 Oct 2017 12:56:53 -0500",Hollie Alphier <HAlphier@crgwaddill.com>
0,1,"Tue, 10 Oct 2017 18:30:32 +0000 (UTC)","""Big Data, Analytics, Hadoop, NoSQL & Cloud Computing""
 <groups-noreply@linkedin.com>"
0,1,"Tue, 10 Oct 2017 19:04:57 +0000 (UTC)",LinkedIn Updates <messages-noreply@linkedin.com>
0,1,"Tue, 10 Oct 2017 19:09:23 +0000 (UTC)","""Nextdoor Cool Springs East"" <reply@rs.email.nextdoor.com>"
0,1,"Tue, 10 Oct 2017 19:31:04 +0000",Kelsey Antoskow <kelsey.antoskow@wcs.edu>
0,1,"Tue, 10 Oct 2017 19:42:35 -0000",=?utf-8?q?Jeanette_Zeller?= <noreply@wcs.edu>
0,1,"Tue, 10 Oct 2017 20:30:46 -0000","""Franklin Synergy Bank"" <info@franklinsynergy.com>"
0,1,"Tue, 10 Oct 2017 15:31:37 -0600","""Dollywood"" <dollywood@hfecorp.net>"
0,1,"Tue, 10 Oct 2017 21:58:53 +0000",Twitter <info@twitter.com>
0,1,"Tue, 10 Oct 2017 23:17:41 +0000 (UTC)",Flipboard 10 for Today<editorialstaff@flipboard.com>
0,1,"Tue, 10 Oct 2017 15:18:41 -0700","""Fandango"" <movies@movies.fandango.com>"
0,1,"Wed, 11 Oct 2017 00:00:00 +0000 (UTC)","""Ladders"" <jobs@theladders.com>"
0,1,"Wed, 11 Oct 2017 01:00:00 +0000 (UTC)","""Ladders"" <daily@theladders.com>"
0,1,"Wed, 11 Oct 2017 02:58:24 +0000",Twitter <info@twitter.com>
0,1,"Wed, 11 Oct 2017 04:37:11 +0000",Twitter <info@twitter.com>
0,1,"Wed, 11 Oct 2017 01:16:17 +0000 (GMT)",Sherwin-Williams <email@e.sherwin-williams.com>
0,1,"Wed, 11 Oct 2017 11:30:00 +0000 (UTC)","""Ladders"" <jobs@theladders.com>"
0,1,"Wed, 11 Oct 2017 12:12:07 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,"Wed, 11 Oct 2017 15:19:53 +0000 (UTC)",LinkedIn <notifications-noreply@linkedin.com>
0,1,11 Oct 2017 11:20:56 -0400,"""InformationWeek Leadership & Careers""
 <informationweek@nw.nwsltechwebresources.com>"
0,1,11 Oct 2017 11:31:59 -0400,"""VRBO"" <VRBO@elq.vrbo.com>"
0,1,"Wed, 11 Oct 2017 16:06:28 +0000",=?utf-8?Q?Abenity?= <members@abenity.com>
0,1,"Wed, 11 Oct 2017 16:34:38 +0000",=?utf-8?Q?Midtown=20Corkdorks?= <corkdork@midtownwine.net>
0,1,"Wed, 11 Oct 2017 16:04:53 +0000","""BeerAdvocate"" <mail@beeradvocate.com>"
0,1,"Wed, 11 Oct 2017 17:17:42 +0000",=?utf-8?Q?Crossway?= <communications@crossway.org>
0,1,"Wed, 11 Oct 2017 17:23:28 +0000 (UTC)","""Nextdoor Cool Springs East"" <no-reply@rs.email.nextdoor.com>"
0,1,"Wed, 11 Oct 2017 18:01:23 +0000",Groupon Getaways <noreply@r.groupon.com>
0,1,"Wed, 11 Oct 2017 18:01:43 +0000",Groupon Getaways <noreply@r.groupon.com>
0,1,"Wed, 11 Oct 2017 18:03:19 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,"Wed, 11 Oct 2017 18:07:19 -0000","""Mark Brissie"" <mbrissie@uptowns.com>"
0,1,"Wed, 11 Oct 2017 05:26:56 -0700","""Southwest Click 'N Save"" <SouthwestAirlines@luv.southwest.com>"
0,1,"Wed, 11 Oct 2017 13:37:44 -0500 (CDT)","""MCPmag.com"" <MCPmag@1105.net>"
0,1,"Wed, 11 Oct 2017 19:00:32 +0000 (UTC)",=?UTF-8?Q?Hungry_Howie's_=F0=9F=8D=95?= <no-reply@hungryhowies.com>
0,1,"Wed, 11 Oct 2017 14:12:10 -0500",Hollie Alphier <HAlphier@crgwaddill.com>
0,1,"Wed, 11 Oct 2017 11:42:52 -0500","""Scott's Cheap Flights"" <scott@scottscheapflights.com>"
0,1,"Wed, 11 Oct 2017 19:52:18 +0000",=?utf-8?Q?Midtown=20Corkdorks?= <corkdork@midtownwine.net>
0,1,"Wed, 11 Oct 2017 20:18:33 +0000 (UTC)","""Big Data, Analytics, Hadoop, NoSQL & Cloud Computing""
 <groups-noreply@linkedin.com>"
0,1,"Wed, 11 Oct 2017 20:29:53 +0000",Google Calendar <calendar-notification@google.com>
0,1,"Wed, 11 Oct 2017 14:33:10 -0600","""Rapid Rewards Dining"" <rapidrewards@email.rewardsnetwork.com>"
0,1,"Wed, 11 Oct 2017 20:56:01 +0000",=?utf-8?Q?Midtown=20Corkdorks?= <corkdork@midtownwine.net>
0,1,"Wed, 11 Oct 2017 22:56:37 +0000 (UTC)",Flipboard 10 for Today<editorialstaff@flipboard.com>
0,1,"Wed, 11 Oct 2017 23:42:50 +0000",Twitter <info@twitter.com>
0,1,"Thu, 12 Oct 2017 00:40:05 +0000 (UTC)",LinkedIn Messaging <messaging-digest-noreply@linkedin.com>
0,1,"Thu, 12 Oct 2017 01:00:00 +0000 (UTC)","""Ladders"" <daily@theladders.com>"
0,1,"Thu, 12 Oct 2017 01:26:23 +0000",The Gmail Team <mail-noreply@google.com>
0,1,"Thu, 12 Oct 2017 02:00:31 +0000",Sonia Soszna <sonia.soszna@wcs.edu>
0,1,"Wed, 11 Oct 2017 19:33:46 -0700","""Sears"" <sears@value.sears.com>"
0,1,"Thu, 12 Oct 2017 03:10:11 +0000",Twitter <info@twitter.com>
0,1,"Thu, 12 Oct 2017 09:21:16 +0000 (UTC)","""YouVersion - The Bible App"" <no-reply@youversion.com>"
0,1,"Thu, 12 Oct 2017 12:14:15 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,12 Oct 2017 09:04:58 -0400,"""Dark Reading Webinar"" <DarkReading@am.amtechwebresources.com>"
0,1,"Thu, 12 Oct 2017 07:44:51 -0600","""Redbox"" <Redbox@em.redbox.com>"
0,1,"Thu, 12 Oct 2017 09:53:03 -0500",Hollie Alphier <HAlphier@crgwaddill.com>
0,1,"Thu, 12 Oct 2017 09:58:20 -0500",Hollie Alphier <HAlphier@crgwaddill.com>
0,1,"Thu, 12 Oct 2017 05:05:56 -0700","""Southwest Click 'N Save"" <SouthwestAirlines@luv.southwest.com>"
0,1,"Thu, 12 Oct 2017 10:07:27 -0500 (CDT)",Mobile Dev Trends <RMG@1105.net>
0,1,"Thu, 12 Oct 2017 15:53:08 +0000 (GMT)",Georgia Aquarium <newsletter@georgiaaquarium.org>
0,1,"Thu, 12 Oct 2017 10:04:52 -0600","""Factory Outlet, Brooks Brothers"" <email@emails.BrooksBrothers.com>"
0,1,"Thu, 12 Oct 2017 10:52:50 -0600","""Nashville Vanderbilt Chapter"" <alumni@vanderbilt.edu>"
0,1,"Thu, 12 Oct 2017 17:03:57 +0000","""Amazon.com Reviews"" <customer-reviews-messages@amazon.com>"
0,1,"Thu, 12 Oct 2017 17:22:55 +0000 (UTC)","""Nextdoor Cool Springs East"" <no-reply@rs.email.nextdoor.com>"
0,1,"Thu, 12 Oct 2017 12:49:03 -0500 (CDT)",AppTrends Newsletter <apptrends@1105.net>
0,1,"Thu, 12 Oct 2017 11:56:08 -0600","""Emerald Club"" <EmeraldClub@email.emeraldclub.com>"
0,1,"Thu, 12 Oct 2017 18:39:22 +0000",Dollar Shave Club <members@dollarshaveclub.com>
0,1,12 Oct 2017 14:55:22 -0400,"""InformationWeek"" <Informationweek@am.amtechwebresources.com>"
0,1,"Thu, 12 Oct 2017 19:36:16 +0000",=?utf-8?Q?smokingpipes.com?= <info@smokingpipes.com>
0,1,"Thu, 12 Oct 2017 20:55:39 +0000","""Amazon.com"" <vfe-campaign-response@amazon.com>"
0,1,"Thu, 12 Oct 2017 20:55:42 +0000",Twitter <info@twitter.com>
0,1,"Thu, 12 Oct 2017 12:51:23 -0500","""Scott's Cheap Flights"" <scott@scottscheapflights.com>"
0,1,"Thu, 12 Oct 2017 14:00:07 -0500","""Scott's Cheap Flights"" <scott@scottscheapflights.com>"
0,1,"Thu, 12 Oct 2017 23:30:00 +0000 (UTC)","""Ladders"" <jobs@theladders.com>"
0,1,"Fri, 13 Oct 2017 00:07:17 +0000",Twitter <info@twitter.com>
0,1,"Fri, 13 Oct 2017 00:17:13 +0000 (UTC)",Flipboard 10 for Today<editorialstaff@flipboard.com>
0,1,"Thu, 12 Oct 2017 17:20:59 -0700","""Sears"" <sears@value.sears.com>"
0,1,"Fri, 13 Oct 2017 01:00:00 +0000 (UTC)","""Ladders"" <daily@theladders.com>"
0,1,"Fri, 13 Oct 2017 03:23:46 +0000",Twitter <info@twitter.com>
0,1,"Fri, 13 Oct 2017 09:59:33 +0000",Groupon Getaways <noreply@r.groupon.com>
0,1,"Fri, 13 Oct 2017 04:03:00 -0600","""Redbox Play Pass"" <Redbox@em.redbox.com>"
0,1,"Fri, 13 Oct 2017 11:00:00 +0000 (UTC)","""Ladders"" <jobs@theladders.com>"
0,1,"Fri, 13 Oct 2017 12:13:07 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,13 Oct 2017 08:32:06 -0400,"""All Analytics"" <AllAnalytics@nw.nwsltechwebresources.com>"
0,1,"Fri, 13 Oct 2017 06:43:53 -0700","""Sears"" <sears@value.sears.com>"
0,1,"Fri, 13 Oct 2017 07:43:36 -0700","""Shop Your Way"" <rewards@rewards.shopyourwayrewards.com>"
0,1,"Fri, 13 Oct 2017 15:00:00 +0000 (UTC)","""Ladders"" <jobs@theladders.com>"
0,1,"Fri, 13 Oct 2017 10:33:50 -0500 (CDT)",Redmond Tech Library <RED@1105.net>
0,1,"Fri, 13 Oct 2017 08:45:04 -0700 (PDT)",Covenant Presbyterian Church <communications@covenantpres.com>
0,1,"Fri, 13 Oct 2017 15:58:21 +0000",Dollar Shave Club <members@dollarshaveclub.com>
0,1,"Fri, 13 Oct 2017 12:03:23 -0500 (CDT)",Redmond magazine <RED@1105.net>
0,1,"Fri, 13 Oct 2017 17:24:26 +0000 (UTC)","""Nextdoor Cool Springs East"" <no-reply@rs.email.nextdoor.com>"
0,1,"Fri, 13 Oct 2017 17:22:22 +0000",=?utf-8?Q?Midtown=20Corkdorks?= <corkdork@midtownwine.net>
0,1,"Fri, 13 Oct 2017 19:21:26 +0000 (UTC)",Flipboard 10 for Today<editorialstaff@flipboard.com>
0,1,"Fri, 13 Oct 2017 15:06:57 -0500 (CDT)",Redmond magazine <RED@1105.net>
0,1,"Fri, 13 Oct 2017 20:34:29 +0000","""Amazon.com"" <vfe-campaign-response@amazon.com>"
0,1,"Fri, 13 Oct 2017 22:06:39 +0000",Twitter <info@twitter.com>
0,1,"Fri, 13 Oct 2017 22:59:57 +0000",Google Calendar <calendar-notification@google.com>
0,1,"Fri, 13 Oct 2017 17:00:56 -0600","""Vanderbilt Now"" <vanderbilt.now@vanderbilt.edu>"
0,1,"Sat, 14 Oct 2017 00:58:01 +0000",Twitter <info@twitter.com>
0,1,"Sat, 14 Oct 2017 01:00:00 +0000 (UTC)","""Ladders"" <daily@theladders.com>"
0,1,"Sat, 14 Oct 2017 03:56:47 +0000",Twitter <info@twitter.com>
0,1,"Sat, 14 Oct 2017 00:49:06 +0000 (GMT)",Sherwin-Williams <email@e.sherwin-williams.com>
0,1,"Sat, 14 Oct 2017 05:05:50 +0000",=?utf-8?Q?Crossway?= <communications@crossway.org>
0,1,"Sat, 14 Oct 2017 10:39:20 +0000 (UTC)",ITIL& ITSM Best Practice <groups-noreply@linkedin.com>
0,1,"Sat, 14 Oct 2017 10:46:07 +0000 (UTC)",Flipboard + WSJ<editorialstaff@flipboard.com>
0,1,"Sat, 14 Oct 2017 12:13:21 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,"Sat, 14 Oct 2017 09:03:01 -0500","""Scott's Cheap Flights"" <scott@scottscheapflights.com>"
0,1,"Sat, 14 Oct 2017 17:23:27 +0000 (UTC)","""Nextdoor Cool Springs East"" <no-reply@rs.email.nextdoor.com>"
0,1,"Sat, 14 Oct 2017 08:05:54 -0700","""Southwest Airlines Rapid Rewards"" <RapidRewards@luv.southwest.com>"
0,1,"Sat, 14 Oct 2017 10:34:14 -0700","""Sears"" <sears@value.sears.com>"
0,1,"Sat, 14 Oct 2017 18:06:31 +0000","""Amazon.com"" <store-news@amazon.com>"
0,1,"Sat, 14 Oct 2017 12:10:41 -0700","""Shop Your Way"" <rewards@rewards.shopyourwayrewards.com>"
0,1,"Sat, 14 Oct 2017 22:03:50 +0000",Twitter <info@twitter.com>
0,1,"Sat, 14 Oct 2017 14:19:53 -0500","""Scott's Cheap Flights"" <scott@scottscheapflights.com>"
